query,time,httpCalls,serverTime,errors
query_100,,0
query_101,2.726,32,78.8125,0
query_102,13.168,812,56.44211822660098,0
query_103,1.503,22,85.13636363636364,0
query_104,4.477,63,56.904761904761905,0
query_105,0.417,14,68.27272727272727,0
query_106,,4
query_107,0.466,12,65.33333333333333,0
query_108,6.303,54,81.96296296296296,0
query_109,,0
query_10,0.345,5,61.2,13
query_111,44.866,2821,59.05423608649415,0
query_112,0.373,10,62.6,0
query_113,,0
query_114,,4
query_115,0.132,1,58,0
query_116,0.615,19,65.52631578947368,0
query_117,,4
query_118,3.2,143,65.46853146853147,0
query_119,0.638,30,65.26666666666667,0
query_11,,0
query_120,,4
query_121,0.645,42,66.80952380952381,0
query_122,2.429,187,62.18716577540107,0
query_123,1.419,24,59.541666666666664,13
query_126,,0
query_127,,0
query_128,0.505,10,73,0
query_129,1.043,10,66.1,0
query_12,,4
query_130,,4
query_131,,0
query_132,0.823,42,71.19047619047619,0
query_133,0.578,34,69.20588235294117,0
query_134,,4
query_135,0.725,42,79.5952380952381,0
query_136,,4
query_137,0.924,49,70.46938775510205,0
query_138,,4
query_139,7.448,422,62.7654028436019,0
query_13,,0
query_140,0.281,4,66.25,13
query_141,12.268,719,58.941585535465926,0
query_142,,4
query_143,2.677,44,57.20454545454545,13
query_144,0.551,45,58.577777777777776,0
query_145,,0
query_147,,0
query_148,31.892,1744,61.7276376146789,0
query_149,,0
query_14,,0
query_150,,0
query_151,4.428,63,56.44444444444444,0
query_152,0.151,1,69,0
query_153,,4
query_154,0.361,5,63.4,13
query_155,1.4,24,59.875,13
query_156,7.346,420,61.70238095238095,0
query_158,,4
query_159,0.558,20,65.05,0
query_15,0.542,42,62.523809523809526,0
query_161,1.104,21,85.80952380952381,0
query_162,0.589,30,73.5,0
query_163,0.669,38,70.71052631578948,0
query_164,0.418,6,61,13
query_166,1.002,73,63.0958904109589,0
query_167,0.385,8,64.125,0
query_168,4.862,275,60.96,0
query_169,0.844,35,75.65714285714286,0
query_16,0.569,26,74.5,0
query_170,,4
query_171,0.29,4,68.5,13
query_172,0.222,3,64,0
query_173,,0
query_174,,4
query_175,0.665,34,73.55882352941177,0
query_17,64.454,769,67.37971391417425,0
query_19,7.432,422,62.12085308056872,0
query_1,0.737,31,70.93548387096774,0
query_20,,4
query_21,2.853,44,58.04545454545455,13
query_22,0.786,22,108.5,0
query_23,0.15,1,60,0
query_24,2.291,29,62.06896551724138,0
query_25,0.634,13,74.53846153846153,0
query_26,,4
query_27,0.144,1,61,0
query_28,0.439,9,63.44444444444444,0
query_29,0.41,7,62.714285714285715,0
query_2,,4
query_30,1.966,30,61.56666666666667,13
query_32,0.664,35,69.2,0
query_33,,4
query_34,3.933,53,63.320754716981135,0
query_35,,0
query_36,0.194,4,63.25,0
query_37,0.13,3,71.33333333333333,0
query_38,,0
query_39,0.372,8,70,0
query_3,,0
query_40,,4
query_41,,4
query_42,,4
query_43,,4
query_44,,4
query_45,0.539,30,73.66666666666667,0
query_46,0.946,11,56.45454545454545,0
query_47,0.498,22,69,0
query_48,0.093,1,56,0
query_49,0.405,11,67.36363636363636,0
query_4,0.815,15,60.46666666666667,0
query_50,,0
query_51,34.616,1744,65.43979357798165,0
query_52,2.228,222,75.75,0
query_53,,0
query_54,,4
query_55,0.673,37,72.13513513513513,0
query_56,,0
query_57,0.468,12,72.66666666666667,0
query_58,,4
query_59,7.047,93,64.34408602150538,0
query_5,,4
query_60,,0
query_61,,0
query_62,0.194,2,78.5,13
query_63,,4
query_64,,0
query_65,,4
query_66,110.116,5412,68.79175905395418,0
query_67,0.12,8,80.5,0
query_68,,0
query_69,,0
query_6,,4
query_70,2.835,112,72.99107142857143,0
query_71,3.47,274,75.18248175182482,0
query_72,2.031,30,62.266666666666666,13
query_73,0.146,1,62,0
query_74,,4
query_75,0.278,4,72.25,0
query_76,,0
query_77,90.43,5815,77.25864144453999,0
query_78,3.021,112,80.00892857142857,0
query_79,31.052,1400,75.045,0
query_7,39.984,1737,75.8796776050662,0
query_80,46.53,2041,79.27780499755022,0
query_81,0.194,6,92.66666666666667,0
query_82,,0
query_83,,0
query_84,,0
query_85,0.122,5,25.8,0
query_86,,4
query_87,4.047,132,16.477272727272727,0
query_88,,0
query_89,,4
query_8,0.214,15,16.733333333333334,0
query_90,,13
query_91,0.094,6,22.166666666666668,0
query_92,,0
query_93,0.138,31,13.838709677419354,0
query_94,,4
query_96,0.121,2,44,13
query_97,1.753,89,12.179775280898877,13
query_98,,4
query_99,0.676,60,23.883333333333333,0
query_9,,0
