query,time,httpCalls,serverTime,errors
query_100,,0
query_101,0.681,38,7.2894736842105265,0
query_102,1.402,812,3.6921182266009853,0
query_103,0.338,84,7.023809523809524,0
query_104,0.795,63,4.015873015873016,0
query_105,0.085,16,5.846153846153846,0
query_106,,16
query_107,0.268,91,7,0
query_108,0.814,82,4.036585365853658,0
query_109,,0
query_10,0.156,5,7.4,0
query_111,48.411,25888,4.40636588380717,0
query_112,0.244,27,10.592592592592593,0
query_113,,0
query_114,,16
query_115,0.046,1,7,0
query_116,0.689,129,4.9689922480620154,0
query_117,,16
query_118,2.127,1279,3.7184313725490195,0
query_119,0.103,30,4.466666666666667,0
query_11,,0
query_120,,16
query_121,0.305,42,11.714285714285714,0
query_122,3.252,1892,3.4825581395348837,0
query_123,0.301,24,4.5,0
query_126,,0
query_127,,0
query_128,0.123,20,9.25,0
query_129,0.194,11,4.4,0
query_12,,16
query_130,,16
query_131,,0
query_132,0.723,332,4.801204819277109,0
query_133,0.114,34,7.5588235294117645,0
query_134,,16
query_135,0.133,42,7.5476190476190474,0
query_136,,16
query_137,0.849,407,4.4914004914004915,0
query_138,,16
query_139,1.72,521,4.495201535508637,0
query_13,0.074,5,11.4,0
query_140,0.091,4,5.5,0
query_141,1.243,719,3.56884561891516,0
query_142,,16
query_143,0.435,44,4,0
query_144,0.126,45,6.111111111111111,0
query_145,,0
query_147,,0
query_148,31.144,15919,4.845090772033419,0
query_149,,0
query_14,,0
query_150,,0
query_151,0.561,63,3.5873015873015874,0
query_152,0.039,1,7,0
query_153,,16
query_154,0.105,5,7.8,0
query_155,0.326,24,4.625,0
query_156,1.318,462,4.095238095238095,0
query_158,,16
query_159,0.124,20,9.45,0
query_15,0.138,42,7.9523809523809526,0
query_161,0.377,140,9.042857142857143,0
query_162,0.106,30,8.166666666666666,0
query_163,0.134,38,7.394736842105263,0
query_164,0.123,6,5.833333333333333,0
query_166,0.268,74,7.783783783783784,0
query_167,0.185,43,5.325581395348837,0
query_168,4.846,2501,4.606885508406726,0
query_169,0.671,277,4.252707581227437,0
query_16,0.105,26,8.884615384615385,0
query_170,,16
query_171,0.118,4,5.5,0
query_172,0.059,3,8,0
query_173,,0
query_174,,16
query_175,0.122,34,10.205882352941176,0
query_17,8.233,1182,4.179508890770533,0
query_19,1.868,521,4.675623800383877,0
query_1,0.648,272,4.216911764705882,0
query_20,,16
query_21,0.492,44,4.5227272727272725,0
query_22,0.331,104,6.875,0
query_23,0.052,1,7,0
query_24,0.449,30,4.2,0
query_25,0.258,80,6.85,0
query_26,,16
query_27,0.046,1,6,0
query_28,0.179,53,4.320754716981132,0
query_29,0.077,7,6.428571428571429,0
query_2,,16
query_30,0.363,30,5.066666666666666,0
query_32,0.118,35,5.685714285714286,0
query_33,,16
query_34,1.197,61,4.409836065573771,0
query_35,,0
query_36,0.048,4,3.5,0
query_37,0.121,3,16,0
query_38,,0
query_39,0.11,23,12.347826086956522,0
query_3,,0
query_40,,16
query_41,,16
query_42,,16
query_43,,16
query_44,,16
query_45,0.233,30,12.466666666666667,0
query_46,0.202,12,4.636363636363637,0
query_47,0.728,164,11.938650306748466,0
query_48,0.098,1,9,0
query_49,0.379,50,10.18,0
query_4,0.202,40,8.075,0
query_50,,0
query_51,30.094,15919,4.386707707770588,0
query_52,1.587,250,4.84,0
query_53,,0
query_54,,16
query_55,0.125,37,7.405405405405405,0
query_56,,0
query_57,0.251,61,8.98360655737705,0
query_58,,16
query_59,1.412,93,4.537634408602151,0
query_5,,16
query_60,,0
query_61,,0
query_62,0.229,2,68,0
query_63,,16
query_64,,0
query_65,,16
query_66,88.903,49677,3.785454033053526,0
query_67,0.075,8,14.875,0
query_68,,0
query_69,,0
query_6,,16
query_70,1.807,1016,3.6518737672583828,0
query_71,4.098,1942,4.106076210092688,0
query_72,0.341,30,4.333333333333333,0
query_73,0.043,1,7,0
query_74,,16
query_75,0.09,14,8.071428571428571,0
query_76,,0
query_77,47.089,25782,3.835311457606082,0
query_78,2.124,1016,4.074110671936759,0
query_79,21.334,12831,3.9296235679214404,0
query_7,30.571,15938,4.142615133642866,0
query_80,2.598,246,8.715447154471544,0
query_81,0.065,6,3.3333333333333335,0
query_82,60.175,5555,3.8655265526552656,0
query_83,,0
query_84,,0
query_85,0.123,5,4.8,0
query_86,,16
query_87,2.209,132,7.757575757575758,0
query_88,,0
query_89,,16
query_8,0.074,15,5.933333333333334,0
query_90,0.357,128,4.875,0
query_91,0.105,25,5.478260869565218,0
query_92,0.083,1,9,0
query_93,0.158,31,7,0
query_94,,16
query_96,0.041,2,8.5,0
query_97,1.364,89,4.53932584269663,0
query_98,,16
query_99,1.154,355,4.374647887323944,0
query_9,,0
