query,time,httpCalls,stateSize,errors
query_0,0.422,4,1718.6666666666667,0
query_10000,0.201,1,0,0
query_10001,0.396,4,3688,0
query_10002,0.118,1,0,0
query_10003,1.63,13,1070.6666666666667,0
query_10004,1.287,4,818.6666666666666,0
query_10005,0.041,1,0,0
query_10006,0.058,1,0,0
query_10007,10.688,1,0,0
query_10008,1.094,9,2217.5,0
query_10009,3.739,36,527.8857142857142,0
query_1000,,0
query_10010,0.052,1,0,0
query_10011,3.621,30,6155.862068965517,0
query_10012,64.005,509,3459.488188976378,0
query_10013,0.07,1,0,0
query_10014,0.187,1,0,0
query_10015,0.049,1,0,0
query_10016,0.236,3,508,0
query_10017,0.237,2,2964,0
query_10018,0.166,2,1652,0
query_10019,0.306,3,1298,0
query_1001,5.022,50,527.9183673469388,0
query_10020,,0
query_10021,0.439,4,1965.3333333333333,0
query_10022,1.094,11,528,0
query_10023,0.048,1,0,0
query_10024,0.036,1,0,0
query_10025,,0
query_10026,0.079,1,0,0
query_10027,12.507,128,1029.4173228346456,0
query_10028,0.07,1,0,0
query_10029,0.365,3,718,0
query_1002,0.059,1,0,0
query_10030,0.372,4,4588,0
query_10031,0.119,1,0,0
query_10032,0.45,4,3866.6666666666665,0
query_10033,1.127,10,592,0
query_10034,0.03,1,0,0
query_10035,0.27,2,1572,0
query_10036,0.041,1,0,0
query_10037,0.318,3,1756,0
query_10038,0.4,4,1225.3333333333333,0
query_10039,,0
query_1003,64.862,566,2559.143362831858,0
query_10040,0.033,1,0,0
query_10041,0.089,1,0,0
query_10042,0.365,4,869.3333333333334,0
query_10043,0.077,1,0,0
query_10044,,0
query_10045,0.557,5,724,0
query_10046,0.037,1,0,0
query_10047,0.382,4,869.3333333333334,0
query_10048,1.204,11,2263.2,0
query_10049,0.053,1,0,0
query_1004,0.034,1,0,0
query_10050,0.034,1,0,0
query_10051,1.632,15,276,0
query_10052,0.969,9,566.5,0
query_10053,0.365,4,1216,0
query_10054,0.032,1,0,0
query_10055,0.055,1,0,0
query_10056,33.695,296,2472.3661016949154,0
query_10057,0.093,1,0,0
query_10058,0.037,1,0,0
query_10059,0.496,3,4762,0
query_1005,0.265,3,1198,0
query_10060,0.073,1,0,0
query_10061,,0
query_10062,0.241,3,1490,0
query_10063,0.048,1,0,0
query_10064,0.326,3,294,0
query_10065,0.334,4,2913.3333333333335,0
query_10066,0.145,2,2400,0
query_10067,0.085,1,0,0
query_10068,0.143,1,0,0
query_10069,,0
query_1006,0.253,3,1134,0
query_10070,0.14,1,0,0
query_10071,0.329,3,3198,0
query_10072,0.245,2,3084,0
query_10073,0.743,1,0,0
query_10074,0.077,1,0,0
query_10075,0.219,2,1956,0
query_10076,0.093,1,0,0
query_10077,0.038,1,0,0
query_10078,,0
query_10079,2.197,22,761.9047619047619,0
query_1007,0.034,1,0,0
query_10080,0.879,7,528,0
query_10081,0.078,1,0,0
query_10082,,0
query_10083,,0
query_10084,4.185,41,1020.1,0
query_10085,3.303,1,0,0
query_10086,0.156,2,340,0
query_10087,0.079,1,0,0
query_10088,0.234,2,2592,0
query_10089,0.105,1,0,0
query_1008,0.09,1,0,0
query_10090,0.132,1,0,0
query_10091,,0
query_10092,0.563,4,480,0
query_10093,0.051,1,0,0
query_10094,0.089,1,0,0
query_10095,0.037,1,0,0
query_10096,3.263,33,2067.875,0
query_10097,0.564,5,1609,0
query_10098,0.83,6,643.2,0
query_10099,0.96,8,1072.5714285714287,0
query_1009,0.081,1,0,0
query_100,0.047,1,0,0
query_10100,27.329,42,3577.170731707317,0
query_10101,0.062,1,0,0
query_10102,0.512,5,1282,0
query_10103,3.444,27,6211.846153846154,0
query_10104,0.134,1,0,0
query_10105,12.733,125,1026.1935483870968,0
query_10106,0.071,1,0,0
query_10107,0.074,1,0,0
query_10108,4.867,50,527.5102040816327,0
query_10109,6.175,59,831.8620689655172,0
query_1010,0.703,6,721.6,0
query_10110,0.435,4,2960,0
query_10111,0.072,1,0,0
query_10112,1.301,12,1070.1818181818182,0
query_10113,0.416,4,868,0
query_10114,1.908,1,0,0
query_10115,0.138,1,0,0
query_10116,1.089,8,528,0
query_10117,0.034,1,0,0
query_10118,0.075,1,0,0
query_10119,0.42,3,1568,0
query_1011,69.743,128,3563.9055118110236,0
query_10120,2.784,24,304,0
query_10121,0.034,1,0,0
query_10122,,0
query_10123,5.624,4,846.6666666666666,0
query_10124,56.651,115,1805.1929824561403,0
query_10125,0.06,1,0,0
query_10126,0.065,1,0,0
query_10127,0.03,1,0,0
query_10128,0.71,6,656.8,0
