query,time,httpCalls,nbResults,errors
query_9959,,,0
query_995,,,0
query_9960,,,0
query_9961,57.071,1,,0
query_9962,76.697,1,,0
query_9963,,,0
query_9964,111.91,1,,0
query_9965,106.428,1,,0
query_9966,73.712,1,,0
query_9967,65.419,1,,0
query_9968,89.48,1,,0
query_9969,94.788,1,,0
query_996,,,0
query_9970,10.63,1,,0
query_9971,109.374,1,,0
query_9972,,,0
query_9973,90.728,1,,0
query_9974,57.258,1,,0
query_9975,,,0
query_9976,,,0
query_9977,17.827,1,,0
query_9978,117.637,1,,0
query_9979,,,0
query_997,15.5,1,,0
query_9980,,,0
query_9981,,,0
query_9982,25.869,1,,0
query_9983,,,0
query_9984,101.871,1,,0
query_9985,95.232,1,,0
query_9986,56.876,1,,0
query_9987,,,0
query_9988,110.303,1,,0
query_9989,,,0
query_998,114.426,1,,0
query_9990,115.369,1,,0
query_9991,,,0
query_9992,31.477,1,,0
query_9993,107.921,1,,0
query_9994,,,0
query_9995,,,0
query_9996,,,0
query_9997,11.878,1,,0
query_9998,115.986,1,,0
query_9999,,,0
query_999,98.499,1,,0
query_99,2.264,1,,0
query_9,2.285,1,,0
